5,OBSTACLE_1,10
5,ENEMY_1,50
5,ENEMY_1,70
5,OBSTACLE_1,90
10,ENEMY_2,20
10,ENEMY_2,40
18,ENEMY_2,60
18,ENEMY_2,80
25,ENEMY_2,20
25,ENEMY_1,40
25,ENEMY_1,50
25,ENEMY_2,70
30,ENEMY_3,40
30,OBSTACLE_3,50
30,ENEMY_3,60
32,OBSTACLE_3,45
32,OBSTACLE_3,55
34,OBSTACLE_3,40
34,OBSTACLE_3,60
35,ENEMY_3,20
35,ENEMY_3,50
35,ENEMY_3,80
36,OBSTACLE_3,10
36,ENEMY_1,50
36,OBSTACLE_3,90
40,ENEMY_2,30
40,ENEMY_2,50
40,ENEMY_2,70
50,ENEMY_3,40
50,ENEMY_3,60
60,OBSTACLE_3,10
60,ENEMY_3,40
60,ENEMY_3,60
60,OBSTACLE_3,90
70,ENEMY_2,10
70,ENEMY_2,30
70,OBSTACLE_3,40
70,ENEMY_3,50
70,OBSTACLE_3,60
70,ENEMY_2,70
70,ENEMY_2,90
85,ENEMY_3,30
85,ENEMY_3,70
95,BOSS_1,50
