1,ENEMY_2,20
5,ENEMY_2,20
6,ENEMY_1,40
7,ENEMY_1,30
8,ENEMY_1,40
9,ENEMY_1,60
10,ENEMY_1,50
11,ENEMY_1,70
11,OBSTACLE_1,35
12,ENEMY_2,22
12,OBSTACLE_1,45
14,ENEMY_2,24
16,ENEMY_2,26
18,ENEMY_2,24
20,ENEMY_2,26
28,ENEMY_2,26
28,OBSTACLE_1,50
28,OBSTACLE_2,15
28,ENEMY_2,70
30,ENEMY_2,75
32,ENEMY_3,70
34,ENEMY_2,75
35,ENEMY_1,10
35,ENEMY_1,90
36,ENEMY_2,80
38,ENEMY_2,85
40,ENEMY_3,40
40,ENEMY_3,60
45,OBSTACLE_1,40
45,OBSTACLE_2,65
50,ENEMY_2,10
50,ENEMY_1,20
50,ENEMY_2,30
50,ENEMY_1,40
51,ENEMY_2,50
51,ENEMY_1,60
51,ENEMY_2,70
52,ENEMY_1,80
52,ENEMY_2,90
53,OBSTACLE_1,45
53,OBSTACLE_2,55
55,ENEMY_1,37
55,ENEMY_3,45
55,ENEMY_2,16
55,ENEMY_3,85
55,OBSTACLE_1,35
65,OBSTACLE_2,35
65,OBSTACLE_1,55
70,ENEMY_2,10
71,ENEMY_2,30
71,ENEMY_2,50
72,ENEMY_3,15
72,ENEMY_3,85
73,OBSTACLE_1,65
73,ENEMY_2,70
73,ENEMY_2,90
75,OBSTACLE_2,55
78,OBSTACLE_1,35
80,ENEMY_2,10
80,ENEMY_2,30
80,ENEMY_2,50
80,ENEMY_2,70
80,ENEMY_2,90
83,ENEMY_3,15
86,ENEMY_3,75
89,ENEMY_3,35
95,BOSS_3,40
